character,line_count,dialog_count,voiceover_count,total_words,Güç,Yolculuk,Dostluk,Kötülük,Umut,ring_mentions
THE LORD OF THE RINGS,1,1,0,5,1,0,1,0,0,1.0
BLACK SCREEN,1,1,0,213,1,0,0,0,0,
GALADRIEL,11,11,0,1972,38,2,3,23,7,16.0
EMACIATED,1,1,0,156,6,0,0,3,1,3.0
BILBO,12,12,0,2017,10,3,3,4,2,8.0
HOBBITS,1,1,0,171,0,0,0,0,0,
GANDALF,23,23,0,3705,56,8,22,30,5,30.0
BUSY,1,1,0,174,0,0,0,0,0,
FRODO,13,13,0,2260,20,4,1,6,2,8.0
MERRY,5,5,0,728,2,2,1,0,0,
THE ENVELOPE,1,1,0,212,2,3,0,3,0,
BLACK RIDER,1,1,0,175,0,1,0,0,0,
DADDY TWOFOOT,1,1,0,157,0,0,0,0,0,
INTOXICATED HOBBIT,1,1,0,154,0,1,0,0,0,
SAM,8,8,0,1393,13,4,1,2,3,3.0
SARUMAN,4,4,0,687,4,2,3,7,0,2.0
PIPPIN,2,2,0,302,2,4,1,0,0,2.0
GALLOP,1,1,0,178,0,0,0,0,0,
OLD HARRY,1,1,0,147,0,1,0,0,1,
BUTTERBUR,1,1,0,165,0,0,1,0,0,
SLOW MOTION,1,1,0,151,1,0,0,2,0,
STRIDER,4,4,0,614,2,0,0,7,0,
ORC OVERSEER,1,1,0,117,0,1,0,0,0,
SLOW,1,1,0,152,2,0,0,0,0,
ARWEN,6,6,0,932,1,1,1,2,1,
ELROND,6,6,0,1224,17,3,3,15,3,8.0
ELROND AND ISILDUR STAND BEFORE THE FIRES OF,1,1,0,167,3,1,0,2,0,1.0
BOROMIR,7,7,0,1151,17,2,5,2,2,9.0
LEGOLAS,4,4,0,790,11,1,1,5,1,5.0
GIMLI,5,5,0,890,6,3,5,7,0,2.0
ARAGORN,9,9,0,1870,8,4,13,5,12,1.0
TWO,1,1,0,214,1,0,5,0,0,
BLUE GLOW,1,1,0,101,0,0,1,0,0,
HALDIR,2,2,0,277,0,1,3,2,0,
FOREST,1,1,0,202,1,0,0,4,1,
LADY OF THE,1,1,0,171,0,0,2,3,1,
PIERCING,1,1,0,4,0,0,0,0,1,
RING,1,1,0,118,1,0,0,0,1,
CELEBORN,1,1,0,177,0,2,1,1,0,
END FLASHBACK,1,1,0,180,0,1,2,1,1,
"ORCS
PIPPIN",1,1,0,152,0,3,0,0,0,
