character1,character2,count
THE LORD OF THE RINGS,BLACK SCREEN,1
BLACK SCREEN,GALADRIEL,1
GALADRIEL,EMACIATED,1
GALADRIEL,BILBO,1
GALADRIEL,PIERCING,1
GALADRIEL,ARAGORN,1
GALADRIEL,CELEBORN,1
GALADRIEL,GIMLI,1
GALADRIEL,END FLASHBACK,1
EMACIATED,GALADRIEL,1
BILBO,HOBBITS,1
BILBO,MERRY,1
BILBO,GANDALF,2
BILBO,ELROND,1
HOBBITS,GANDALF,1
GANDALF,BUSY,1
GANDALF,BILBO,2
GANDALF,THE ENVELOPE,1
GANDALF,FRODO,2
GANDALF,SARUMAN,1
GANDALF,ELROND,1
GANDALF,BOROMIR,1
GANDALF,ARAGORN,1
GANDALF,BLUE GLOW,1
GANDALF,SAM,1
BUSY,FRODO,1
FRODO,GANDALF,3
FRODO,SAM,2
FRODO,MERRY,1
FRODO,SLOW MOTION,1
FRODO,ARAGORN,2
MERRY,BILBO,1
MERRY,GALLOP,1
MERRY,"ORCS
PIPPIN",1
THE ENVELOPE,BLACK RIDER,1
BLACK RIDER,DADDY TWOFOOT,1
DADDY TWOFOOT,INTOXICATED HOBBIT,1
INTOXICATED HOBBIT,GANDALF,1
SAM,SARUMAN,1
SAM,PIPPIN,1
SAM,FRODO,1
SAM,SLOW,1
SAM,GANDALF,1
SAM,LEGOLAS,1
SAM,BOROMIR,1
SARUMAN,GANDALF,2
SARUMAN,SAM,1
PIPPIN,FRODO,1
PIPPIN,BOROMIR,1
GALLOP,OLD HARRY,1
OLD HARRY,BUTTERBUR,1
BUTTERBUR,SAM,1
SLOW MOTION,STRIDER,1
STRIDER,ORC OVERSEER,1
STRIDER,SAM,1
STRIDER,ARWEN,1
ORC OVERSEER,STRIDER,1
SLOW,STRIDER,1
ARWEN,ELROND,1
ARWEN,LEGOLAS,1
ELROND,FRODO,1
ELROND,ELROND AND ISILDUR STAND BEFORE THE FIRES OF,1
ELROND,BOROMIR,1
ELROND,GIMLI,2
ELROND,ARAGORN,1
ELROND AND ISILDUR STAND BEFORE THE FIRES OF,BOROMIR,1
BOROMIR,ARWEN,1
BOROMIR,ELROND,1
BOROMIR,SARUMAN,1
BOROMIR,ARAGORN,1
BOROMIR,FRODO,2
LEGOLAS,ELROND,1
LEGOLAS,FRODO,1
LEGOLAS,BOROMIR,1
GIMLI,ELROND,1
GIMLI,GANDALF,1
GIMLI,HALDIR,1
GIMLI,GALADRIEL,1
ARAGORN,BILBO,1
ARAGORN,TWO,1
ARAGORN,GANDALF,1
ARAGORN,GIMLI,1
ARAGORN,FOREST,1
ARAGORN,LADY OF THE,1
ARAGORN,RING,1
ARAGORN,LEGOLAS,1
ARAGORN,MERRY,1
TWO,ARAGORN,1
BLUE GLOW,FRODO,1
HALDIR,ARAGORN,1
FOREST,ARAGORN,1
LADY OF THE,GALADRIEL,1
PIERCING,GALADRIEL,1
RING,GALADRIEL,1
CELEBORN,GALADRIEL,1
END FLASHBACK,SAM,1
"ORCS
PIPPIN",PIPPIN,1
